ID,Section,Question,Translation,Translate ENG,Copy New,Sample Answer
1,General,care_facility_id,In welches Pflegeheim ist die pflegebeduerftige Person eingezogen?,Which nursing home has the person moved into?,In welches Pflegeheim sind Sie eingezogen?,
2,General,social_office,Welches Sozialamt ist zustaendig?,Which social welfare office is responsible?,Welches Sozialamt ist zuständig?,
13,Personal,citizenship,Was ist Ihre Staatsangehoerigkeit?,What is your nationality?,Welche Staatsangehörigkeit haben Sie?,deutsch
14,Personal,residence_status,Welcher aufenthaltsrechtliche Status liegt vor?,What is your residence status?,Welchen Aufenthaltsstatus haben Sie?,
15,Personal,entry_to_germany_date,Wann sind Sie in die Bundesrepublik Deutschland eingereist?,When did you enter Germany?,Wann sind Sie nach Deutschland eingereist?,
16,Personal,residence_status_other,Wie lautet Ihr sonstiger Aufenthaltsstatus?,What is your other residence status?,Welchen sonstigen Aufenthaltsstatus haben Sie?,Niederlassungserlaubnis
17,Personal,legal_guardian_yes_no,Wurde fuer Sie ein gesetzlicher Betreuer bestellt?,Has a legal guardian been appointed for you?,Haben Sie eine gesetzliche Betreuung oder eine bevollmächtigte Person?,
18,Personal,legal_guardian_name_address,Wie lauten Name und Anschrift der bestellten Betreuungsperson?,What are the name and address of the appointed legal guardian?,"Wie heißt Ihre Betreuung oder bevollmächtigte Person, und wie ist die Adresse?","Max Mustermann, Musterstraße 12"
19,Personal,disability_card,Liegt ein Schwerbehindertenausweis oder Feststellungsbescheid vor?,Do you have a severe disability card or assessment notice?,Haben Sie einen Schwerbehindertenausweis oder Feststellungsbescheid?,
20,Personal,disability_card_expiry,Bis wann ist der Schwerbehindertenausweis oder Feststellungsbescheid gueltig?,Until when is the severe disability card or assessment notice valid?,Bis wann ist Ihr Schwerbehindertenausweis oder Feststellungsbescheid gültig?,
21,Personal,disability_card_application_date,Wann wurde der Schwerbehindertenausweis oder Feststellungsbescheid beantragt?,When was the severe disability card or assessment notice applied for?,Wann haben Sie den Schwerbehindertenausweis oder Feststellungsbescheid beantragt?,
22,Personal,disability_card_markers,Hat der Schwerbehindertenausweis die Merkzeichen G oder aG?,Does the severe disability card include the markers G or aG?,Welche Merkzeichen stehen in Ihrem Schwerbehindertenausweis?,
23,Personal,applicant_bulk_topics,Treffen eine oder mehrere dieser eher seltenen Situationen auf die pflegebeduerftige Person zu?,Do any of these less common situations apply to the person in need of care?,Trifft eine dieser seltenen Situationen auf Sie zu?,
24,Personal,commitment_declaration_date,Wann wurde die Verpflichtungserklaerung abgegeben?,When was the declaration of commitment issued?,"Wann hat jemand bei der Ausländerbehörde unterschrieben, finanziell für Sie einzustehen?",
25,Personal,prior_sgb_benefits_provider,Von wem haben Sie diese Leistungen erhalten?,Which authority or provider paid these benefits?,Von welcher Stelle haben Sie diese Leistungen bekommen?,Jobcenter Essen
26,Personal,prior_sgb_benefits_from,Seit wann haben Sie diese Leistungen erhalten?,From when did you receive these benefits?,Seit wann haben Sie diese Leistungen bekommen?,
27,Personal,prior_sgb_benefits_until,Bis wann haben Sie diese Leistungen erhalten?,Until when did you receive these benefits?,Bis wann haben Sie diese Leistungen bekommen?,
28,Home,last_residence_street,In welcher Straße haben Sie vor Aufnahme in die stationaere Einrichtung gewohnt?,On which street did you live before moving into the nursing home?,In welcher Straße lag Ihre letzte Wohnung?,Musterstraße
29,Home,last_residence_house_number,Wie lautete die Hausnummer Ihrer letzten Wohnung vor Heimaufnahme?,What was the house number of your last home before moving into the nursing home?,Wie lautete die Hausnummer Ihrer letzten Wohnung?,
30,Home,last_residence_plz,Wie lautet die Postleitzahl Ihrer letzten Wohnung vor Heimaufnahme?,What is the postal code of your last home before moving into the nursing home?,Wie lautete die Postleitzahl Ihrer letzten Wohnung?,
31,Home,last_residence_city,In welchem Ort haben Sie vor Heimaufnahme gewohnt?,In which city did you live before moving into the nursing home?,In welchem Ort lag Ihre letzte Wohnung?,Essen
32,Home,former_rental_apartment_yes_no,Hatte die pflegebeduerftige Person vor Heimaufnahme eine Mietwohnung?,Did the person in need of care have a rented apartment before moving into the nursing home?,Hatten Sie vor dem Einzug ins Pflegeheim eine Mietwohnung?,
33,Home,former_rent_contract_active_yes_no,Laeuft der Mietvertrag der letzten Wohnung noch?,Is the lease for the former apartment still active?,Läuft der Mietvertrag Ihrer letzten Wohnung noch?,
35,Home,former_rent_paid_until,Bis wann wurde oder wird die Miete fuer die letzte Wohnung gezahlt?,Until when has or will the rent for the former apartment be paid?,Bis wann wurde die Miete für Ihre letzte Wohnung bezahlt?,
36,Home,former_rent_contract_termination_yes_no,Wurde die letzte Wohnung bereits gekuendigt?,Has the former apartment already been terminated?,Haben Sie Ihre letzte Wohnung bereits gekündigt?,
37,Home,former_rent_contract_terminated_by,Zu welchem Datum wurde die letzte Wohnung gekuendigt?,On what date was the former apartment terminated?,Zu welchem Datum wurde Ihre letzte Wohnung gekündigt?,
38,Home,former_rent_debt,Gibt es Mietrueckstaende fuer die letzte Wohnung?,Are there rent arrears for the former apartment?,Gibt es Mietrückstände für Ihre letzte Wohnung?,
39,Home,former_landlord_name_address,Wie lauten Name und Anschrift des Vermieters der letzten Wohnung?,What are the name and address of the landlord of the former apartment?,Wie heißen Ihr Vermieter und seine Adresse?,"Hausverwaltung Müller, Musterstraße 12"
40,Children,child_high_income_100k_yes_no,"Koennen Sie sich vorstellen, dass dieses Kind ein jaehrliches Einkommen von 100.000 Euro oder mehr hat?","Do you think this child may have an annual income of 100,000 euros or more?","Glauben Sie, dass dieses Kind 100.000 Euro oder mehr im Jahr verdient?",
45,Children,child_marital_status,Was ist der Familienstand Ihres Kindes?,What is your child's marital status?,Welchen Familienstand hat Ihr Kind?,
46,Children,child_family_tie,In welchem Verwandtschaftsverhaeltnis steht dieses Kind zu Ihnen?,What is this child's relationship to you?,In welchem Verhältnis steht dieses Kind zu Ihnen?,
47,Children,child_profession,Welchen Beruf uebt Ihr Kind aus?,What occupation does your child have?,Welchen Beruf hat Ihr Kind?,Kauffrau
49,Children,maintenance_bulk_topics,Treffen eine oder mehrere dieser besonderen Unterhaltssituationen zu?,Do any of these special maintenance situations apply?,Trifft eine dieser besonderen Unterhaltssituationen zu?,
50,Children,ex_partner_first_name,Wie lautet der Vorname des getrennt lebenden oder geschiedenen Ehegatten/Partners?,What is the first name of the separated or divorced spouse or partner?,Wie lautet der Vorname Ihres getrennt lebenden oder geschiedenen Partners?,Max
51,Children,ex_partner_last_name,Wie lautet der Nachname des getrennt lebenden oder geschiedenen Ehegatten/Partners?,What is the last name of the separated or divorced spouse or partner?,Wie lautet der Nachname Ihres getrennt lebenden oder geschiedenen Partners?,Mustermann
52,Children,ex_partner_street,In welcher Straße wohnt der getrennt lebende oder geschiedene Ehegatte/Partner?,On which street does the separated or divorced spouse or partner live?,In welcher Straße wohnt Ihr getrennt lebender oder geschiedener Partner?,Musterstraße
53,Children,ex_partner_house_number,Wie lautet die Hausnummer des getrennt lebenden oder geschiedenen Ehegatten/Partners?,What is the house number of the separated or divorced spouse or partner?,Wie lautet die Hausnummer Ihres getrennt lebenden oder geschiedenen Partners?,
54,Children,ex_partner_plz,Wie lautet die Postleitzahl des getrennt lebenden oder geschiedenen Ehegatten/Partners?,What is the postal code of the separated or divorced spouse or partner?,Wie lautet die Postleitzahl Ihres getrennt lebenden oder geschiedenen Partners?,
55,Children,ex_partner_city,In welchem Ort wohnt der getrennt lebende oder geschiedene Ehegatte/Partner?,In which city does the separated or divorced spouse or partner live?,In welchem Ort wohnt Ihr getrennt lebender oder geschiedener Partner?,Essen
56,Children,ex_partner_birthdate,Wann wurde der getrennt lebende oder geschiedene Ehegatte/Partner geboren?,When was the separated or divorced spouse or partner born?,Wann wurde Ihr getrennt lebender oder geschiedener Partner geboren?,
57,Children,ex_partner_city_of_birth,In welchem Ort wurde der getrennt lebende oder geschiedene Ehegatte/Partner geboren?,In which city was the separated or divorced spouse or partner born?,In welchem Ort wurde Ihr getrennt lebender oder geschiedener Partner geboren?,Bochum
59,Income,health_insurance_member_since,Seit wann sind Sie Mitglied dieser Kranken-/Pflegeversicherung?,Since when have you been a member of this health or long-term care insurance?,Seit wann sind Sie dort kranken- oder pflegeversichert?,
60,Income,health_insurance_type,Wie sind Sie kranken- bzw. pflegeversichert?,How are you insured for health and long-term care?,Wie sind Sie kranken- und pflegeversichert?,
64,Income,foreign_health_insurance_yes_no,Haben Sie eine auslaendische Krankenversicherung?,Do you have foreign health insurance?,Haben Sie eine ausländische Krankenversicherung?,
65,Income,foreign_health_insurance_name_address,Wie lauten Name und Anschrift der auslaendischen Krankenversicherung?,What are the name and address of the foreign health insurance provider?,Wie heißen die ausländische Krankenversicherung und ihre Adresse?,"Mutuelle Santé, Rue de Paris 1"
67,Income,last_health_insurance_from,Von wann waren Sie dort versichert?,From when were you insured there?,Ab wann waren Sie dort versichert?,
69,Income,pension_type,Welche Rente oder Pension beziehen Sie?,What type of pension or retirement benefit do you receive?,Welche Rente oder Pension bekommen Sie?,
70,Income,pension_amount_gross,Wie hoch ist der monatliche Bruttobetrag dieser Rente/Pension?,What is the monthly gross amount of this pension or retirement benefit?,Wie hoch ist der Bruttobetrag dieser Rente oder Pension pro Monat?,
71,Income,pension_amount,Wie hoch ist der monatliche Nettobetrag dieser Rente/Pension?,What is the monthly net amount of this pension or retirement benefit?,Wie hoch ist der Nettobetrag dieser Rente oder Pension pro Monat?,
72,Income,pension_application_yes_no,"Haben Sie eine Rente beantragt, ueber die noch nicht entschieden wurde?",Have you applied for a pension that has not yet been decided?,"Haben Sie eine Rente beantragt, über die noch nicht entschieden wurde?",
73,Income,pension_application_date,Wann wurde die Rente beantragt?,When did you apply for the pension?,Wann haben Sie die Rente beantragt?,
74,Income,pension_application_issuer,Bei welcher Stelle wurde die Rente beantragt?,Which office did you apply to for the pension?,Bei welcher Stelle haben Sie die Rente beantragt?,Deutsche Rentenversicherung
75,Income,pension_application_insurance_number,Welche Versicherungsnummer gehoert zum Rentenantrag?,Which insurance number belongs to the pension application?,Welche Versicherungsnummer gehört zu diesem Rentenantrag?,12 010180 M 123
76,Income,pension_application_type,Welche Rente wurde beantragt?,Which pension did you apply for?,Welche Rente haben Sie beantragt?,Altersrente
77,Income,other_income,Beziehen Sie anderes Einkommen?,Do you receive any other income?,Haben Sie weiteres Einkommen?,
78,Income,other_income_type,Welche Art von anderem Einkommen beziehen Sie?,What type of other income do you receive?,Welche Art von weiterem Einkommen haben Sie?,
80,Income,income_bulk_topics,Treffen eine oder mehrere dieser besonderen Einkommens- oder Rentensituationen zu?,Do any of these special income or pension situations apply?,Trifft eine dieser besonderen Einkommens- oder Rentensituationen auf Sie zu?,
81,Income,oeg_application_date,Wann wurde der Antrag nach dem Opferentschaedigungsgesetz gestellt?,When was the application under the Victim Compensation Act submitted?,Wann haben Sie den Antrag nach dem Opferentschädigungsgesetz gestellt?,
82,Income,oeg_application_issuer,Bei welcher Stelle wurde der Antrag nach dem Opferentschaedigungsgesetz gestellt?,Which authority was the application under the Victim Compensation Act submitted to?,Bei welcher Stelle haben Sie den Antrag nach dem Opferentschädigungsgesetz gestellt?,Versorgungsamt Essen
83,Income,foreign_pension_contributions_details,In welchem Staat und in welchem Zeitraum wurden auslaendische Rentenbeitraege abgefuehrt?,In which country and during which period were foreign pension contributions paid?,In welchem Land und in welchem Zeitraum wurden ausländische Rentenbeiträge gezahlt?,"Türkei, 1975-1980"
84,Income,foreign_work_without_pension_contributions_details,"Bitte beschreiben Sie Zeitraum, Arbeitgeber und Verdienst der Auslandstaetigkeit ohne Rentenbeitraege.","Please describe the period, employer and earnings for the foreign work without pension contributions.","Wann und wo haben Sie im Ausland gearbeitet, ohne Rentenbeiträge zu zahlen?","Türkei, 1975-1980, Firma Yilmaz, ca. 800 EUR/Monat"
85,Expenditure,expense_bulk_topics,Gibt es eine oder mehrere dieser absetzbaren Ausgaben?,Do you have any of these deductible expenses?,Haben Sie eine dieser Ausgaben?,
87,Expenditure,social_security_contributions_amount,Wie hoch sind die monatlichen Sozialversicherungsbeitraege?,What is the monthly social security contribution amount?,Wie hoch sind Ihre monatlichen Sozialversicherungsbeiträge?,
91,Expenditure,pension_contributions_amount,Wie hoch sind die monatlichen Altersvorsorgebeitraege?,What is the monthly pension provision contribution?,Wie hoch sind die monatlichen Altersvorsorgebeiträge?,
93,Wealth,cash_savings_yes_no,Besitzen Sie Bargeld?,Do you have cash?,Haben Sie Bargeld?,
94,Wealth,cash_savings_amount,Wie viel Bargeld besitzen Sie?,How much cash do you have?,Wie viel Bargeld haben Sie?,
95,Wealth,bank_giro_yes_no,Besitzen Sie Bankguthaben?,Do you have bank balances?,Haben Sie Bankguthaben?,
97,Wealth,bank_savings_account_yes_no,Besitzen Sie Sparguthaben?,Do you have savings balances?,Haben Sie Sparguthaben?,
99,Wealth,bank_additional_account_yes_no,"Besitzen Sie sonstige Kontoguthaben, z. B. Onlinekonten wie PayPal?","Do you have other account balances, such as online accounts?","Haben Sie sonstige Kontoguthaben, z. B. PayPal?",
101,Wealth,funeral_insurance_yes_no,Haben Sie Bestattungsvorsorgevertrag?,Do you have a funeral provision contract?,Haben Sie einen Bestattungsvorsorgevertrag?,
102,Wealth,funeral_insurance_amount,Wie hoch ist der Betrag der Bestattungsvorsorgevertrag?,What is the amount of the funeral provision contract?,Wie hoch ist der Betrag des Bestattungsvorsorgevertrags?,
103,Wealth,funeral_insurance_due_date,Wann ist dieser Betrag faellig?,When is this amount due?,Wann ist dieser Betrag fällig?,
106,Wealth,life_insurance_surrender_value,Wie hoch ist der aktuelle Rueckkaufswert der Lebensversicherung?,What is the current surrender value of the life insurance policy?,Wie hoch ist der aktuelle Rückkaufswert der Lebensversicherung?,
107,Wealth,automobile_yes_no,Besitzen Sie ein Kraftfahrzeug?,Do you own a vehicle?,Haben Sie ein Kraftfahrzeug?,
108,Wealth,automobile_numbers_plate,Wie lautet das amtliche Kennzeichen des Kraftfahrzeugs?,What is the vehicle's license plate number?,Welches amtliche Kennzeichen hat das Kraftfahrzeug?,E-AB 1234
109,Wealth,automobile_year,Welches Baujahr hat das Kraftfahrzeug?,What year was the vehicle built?,Aus welchem Baujahr ist das Kraftfahrzeug?,
110,Wealth,automobile_type,Welches Modell hat das Kraftfahrzeug?,What model is the vehicle?,Welches Fahrzeugmodell ist es?,Golf
111,Wealth,automobile_vehicle_type,Welchen Fahrzeugtyp hat das Kraftfahrzeug?,What type of vehicle is it?,Welches ist der Fahrzeugtyp?,VW
114,Wealth,property_notes,Bitte machen Sie Angaben zu Haus- oder Wohneigentum.,Please provide details about the house or apartment you own.,"Bitte geben Sie Adresse, Art und Nutzung Ihres Haus- oder Wohneigentums an.","Eigentumswohnung, Musterstraße 12, vermietet"
116,Wealth,additional_property_notes,Bitte machen Sie Angaben zu sonstigem Grundbesitz.,Please provide details about the other real estate.,"Bitte geben Sie Adresse, Art und Nutzung Ihres sonstigen Grundbesitzes an.","Garage, Musterstraße 12, vermietet"
117,Wealth,asset_transfer_yes_no,Wurde in den letzten 10 Jahren vor Antragstellung Vermoegen auf andere Personen uebertragen?,Has any property or assets been transferred to another person in the last 10 years before the application?,Haben Sie in den letzten 10 Jahren Vermögen an andere Personen übertragen?,
118,Wealth,asset_transfer_date,Wann wurde das Vermoegen uebertragen?,When were the assets transferred?,Wann wurde das Vermögen übertragen?,
119,Wealth,asset_transfer_amount,In welcher Hoehe wurde Vermoegen uebertragen?,What was the value of the transferred assets?,In welcher Höhe wurde Vermögen übertragen?,
120,Wealth,wealth_bulk_topics,Gibt es eine oder mehrere dieser besonderen Vermoegensarten?,Do you have any of these special types of assets?,Haben Sie eine dieser besonderen Vermögensarten?,
122,Wealth,jewelry_metals_amount,Welchen Wert haben Schmuck oder Edelmetalle?,What is the value of the jewelry or precious metals?,Welchen Wert haben Ihr Schmuck oder Ihre Edelmetalle?,
123,Wealth,additional_wealth_amount,Welchen Wert hat Ihr sonstiges Vermoegen?,What is the value of your other assets?,Welchen Wert hat Ihr sonstiges Vermögen?,
124,Wealth,additional_wealth_type,Um welche Art von sonstigem Vermoegen handelt es sich?,What type of other asset is it?,Welche Art von sonstigem Vermögen haben Sie?,Schmuck
125,Wealth,state_subsidized_private_pension_amount,Wie hoch ist der Betrag der staatlich gefoerderte private Altersvorsorge (Riester-/Ruerup-Rente)?,What is the amount of the state-subsidized private pension provision?,Wie hoch ist der Betrag Ihrer staatlich geförderten privaten Altersvorsorge?,
126,Wealth,state_subsidized_private_pension_due_date,Wann ist dieser Betrag faellig?,When is this amount due?,Wann ist dieser Betrag fällig?,
127,Wealth,private_pension_amount,Wie hoch ist der Betrag der sonstige nicht gesetzliche private Altersvorsorge?,What is the amount of the other private pension provision?,Wie hoch ist der Betrag Ihrer sonstigen privaten Altersvorsorge?,
128,Wealth,private_pension_due_date,Wann ist dieser Betrag faellig?,When is this amount due?,Wann ist dieser Betrag fällig?,
131,Wealth,transfer_contract_claims_notes,Bitte beschreiben Sie die Ansprueche aus Uebertragsvertraegen.,Please describe the claims from transfer agreements.,"Haben Sie durch einen Vertrag noch Rechte an einem Haus, einer Wohnung oder einem Grundstück?",Ich darf weiterhin in der Wohnung wohnen
132,Wealth,inheritance_claims_notes,Bitte beschreiben Sie die Ansprueche aus Erbschaft.,Please describe the inheritance claims.,Erwarten Sie eine Erbschaft oder haben Sie noch Anspruch auf etwas aus einer Erbschaft?,Erbe nach verstorbener Mutter noch nicht ausgezahlt
135,Wealth,abroad_employment_details,Waren Sie im Ausland erwerbstaetig? Bitte Zeitraum und Arbeitgeber angeben.,Were you employed abroad? Please provide the period and employer.,Waren Sie im Ausland berufstätig? Bitte nennen Sie Zeitraum und Arbeitgeber.,
136,Additional,payment_account_holder_first_name,Wie lautet der Vorname des Kontoinhabers fuer moegliche Zahlungen?,What is the first name of the account holder for possible payments?,Wie lautet der Vorname des Kontoinhabers für mögliche Zahlungen?,Max
137,Additional,payment_account_holder_last_name,Wie lautet der Nachname des Kontoinhabers fuer moegliche Zahlungen?,What is the last name of the account holder for possible payments?,Wie lautet der Nachname des Kontoinhabers für mögliche Zahlungen?,Mustermann
